AOI,,Pipeline,,Injection_WellPads,,LegacyWells,,AppraisalWells,,CrossSection,,References,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
21686.681601410328,33591.999078473214,53817.710337266726,24414.972774485457,,,,,,,,,,
21854.362129256282,82219.3521538005,55052.87090238432,24591.42428378797,,,,,,,,,,
22301.510203512167,33591.999078473214,55052.87090238432,25473.681830300535,,,,,,,,,,
22664.818013845073,82219.3521538005,55052.87090238432,26003.03635820808,,,,,,,,,,
23195.806352023934,82219.3521538005,55052.87090238432,26532.390886115623,,,,,,,,,,
24145.996009817685,33480.212059909245,55052.87090238432,27591.0999419307,,,,,,,,,,
24425.463556227613,82219.3521538005,55052.87090238432,28120.454469838245,,,,,,,,,,
24537.250574791582,86103.95104889848,55052.87090238432,29532.06654425836,,,,,,,,,,
24537.250574791582,85069.92112718175,55052.87090238432,30061.4210721659,,,,,,,,,,
24760.824611919525,33480.212059909245,55052.87090238432,31120.130127980978,,,,,,,,,,
24649.03759335555,89876.76292543249,53994.16184656924,32708.193711703603,,,,,,,,,,
24649.03759335555,89038.3602862027,53641.25882796421,33061.096730308636,,,,,,,,,,
24649.03759335555,88199.95764697294,53641.25882796421,33766.90276751869,,,,,,,,,,
24956.451894406473,91749.195486379,53111.90430005667,34825.61182333377,,,,,,,,,,
26437.629890379085,33452.26530526825,53111.90430005667,35354.96635124132,,,,,,,,,,
26661.203927507027,91609.46171317404,53288.355809359186,36766.57842566143,,,,,,,,,,
26437.629890379085,26214.055853251142,53288.355809359186,38001.73899077903,,,,,,,,,,
26437.629890379085,25543.333741867318,53288.355809359186,38531.09351868655,,,,,,,,,,
26437.629890379085,24928.50513976548,53464.8073186617,39766.25408380415,,,,,,,,,,
26437.629890379085,23903.790802929085,53464.8073186617,40295.6086117117,,,,,,,,,,
26605.310418225043,29986.867729785157,53464.8073186617,41530.76917682931,,,,,,,,,,
26549.416908943054,29344.092373042324,52935.452790754156,41530.76917682931,,,,,,,,,,
26605.310418225043,28421.849469889567,52229.646753544104,42060.123704736834,,,,,,,,,,
26605.310418225043,27751.127358505742,52229.646753544104,43118.83276055193,,,,,,,,,,
26698.46626702835,32157.39900690225,52053.195244241586,43471.73577915695,,,,,,,,,,
26717.097436789012,31309.680782792137,51170.937697729016,43824.63879776199,,,,,,,,,,
26772.990946070997,33116.904249576335,50641.58316982147,43824.63879776199,,,,,,,,,,
27108.35200176291,91702.61756197734,49935.777132611416,44706.89634427455,,,,,,,,,,
27331.92603889085,23642.954426279815,49406.422604703876,44706.89634427455,,,,,,,,,,
27890.861131710706,91721.24873173801,47465.456002376224,45412.7023814846,,,,,,,,,,
28505.689733812545,23642.954426279815,47641.907511678735,46118.508418694655,,,,,,,,,,
28896.944298786442,91665.35522245603,47641.907511678735,46824.314455904714,,,,,,,,,,
29344.092373042324,91609.46171317404,47641.907511678735,47530.12049311477,,,,,,,,,,
30294.282030836075,23531.167407715846,47641.907511678735,48588.82954892985,,,,,,,,,,
30573.749577246002,91534.93703413139,47641.907511678735,49471.08709544242,,,,,,,,,,
30909.110632937914,23531.167407715846,47641.907511678735,50176.89313265247,,,,,,,,,,
31132.684670065857,91587.10430946124,46406.746946561136,50529.796151257506,,,,,,,,,,
31654.35742336439,23531.167407715846,45877.3924186536,51412.053697770076,,,,,,,,,,
31915.19380001365,91567.54158121254,45348.03789074606,51412.053697770076,,,,,,,,,,
32474.128892833505,91497.67469461006,44818.683362838514,51588.50520707259,,,,,,,,,,
32362.341874269536,23531.167407715846,,,,,,,,,,,,
33480.212059909245,91497.67469461006,,,,,,,,,,,,
34262.72118985704,91497.67469461006,,,,,,,,,,,,
34542.188736266966,23419.380389151873,,,,,,,,,,,,
35157.0173383688,23419.380389151873,,,,,,,,,,,,
35604.16541262469,91441.78118532809,,,,,,,,,,,,
35827.739449752626,23419.380389151873,,,,,,,,,,,,
36218.99401472653,91497.67469461006,,,,,,,,,,,,
36163.10050544454,21798.468619974297,,,,,,,,,,,,
36163.10050544454,21183.640017872458,,,,,,,,,,,,
36610.24857970043,20177.556850796722,,,,,,,,,,,,
36945.609635392335,91460.41235508875,,,,,,,,,,,,
38622.4149138519,91274.10065748212,,,,,,,,,,,,
39181.35000667175,20065.769832232752,,,,,,,,,,,,
39237.243515953734,91274.10065748212,,,,,,,,,,,,
40209.790577460284,91274.10065748212,,,,,,,,,,,,
40466.90072015741,20065.769832232752,,,,,,,,,,,,
40969.94230369529,20065.769832232752,,,,,,,,,,,,
42311.386526462935,91162.31363891816,,,,,,,,,,,,
42255.49301718095,19953.98281366878,,,,,,,,,,,,
43056.633316889405,19953.98281366878,,,,,,,,,,,,
43317.46969353867,91162.31363891816,,,,,,,,,,,,
43820.51127707654,19953.98281366878,,,,,,,,,,,,
44044.08531420448,91162.31363891816,,,,,,,,,,,,
44770.70093487029,19953.98281366878,,,,,,,,,,,,
45776.784101946025,19059.686665157016,,,,,,,,,,,,
45776.784101946025,18090.865837602607,,,,,,,,,,,,
45776.784101946025,17457.406065740095,,,,,,,,,,,,
45776.784101946025,16768.052784595613,,,,,,,,,,,,
45776.784101946025,16069.383918570797,,,,,,,,,,,,
45776.784101946025,15482.50207110995,,,,,,,,,,,,
46168.03866691992,91050.52662035418,,,,,,,,,,,,
46447.50621332985,13358.548718394506,,,,,,,,,,,,
47118.22832471367,13358.548718394506,,,,,,,,,,,,
47705.11017217452,91050.52662035418,,,,,,,,,,,,
49167.656998386476,13246.761699830535,,,,,,,,,,,,
49950.16612833427,90938.7396017902,,,,,,,,,,,,
49912.903788812946,13246.761699830535,,,,,,,,,,,,
50974.88046517067,13246.761699830535,,,,,,,,,,,,
50918.98695588868,90938.7396017902,,,,,,,,,,,,
51477.92204870853,90938.7396017902,,,,,,,,,,,,
51701.49608583648,13246.761699830535,,,,,,,,,,,,
53601.87540142398,13134.974681266563,,,,,,,,,,,,
53750.924759509275,90826.95258322624,,,,,,,,,,,,
53937.23645711589,84958.13410861777,,,,,,,,,,,,
53937.23645711589,84231.51848795197,,,,,,,,,,,,
53937.23645711589,83001.8612837483,,,,,,,,,,,,
53937.23645711589,81939.88460739057,,,,,,,,,,,,
54049.02347567986,89653.18888830455,,,,,,,,,,,,
54049.02347567986,88404.9005143402,,,,,,,,,,,,
54049.02347567986,86579.04587779536,,,,,,,,,,,,
54160.81049424384,13134.974681266563,,,,,,,,,,,,
54440.27804065376,81143.40210012227,,,,,,,,,,,,
55111.00015203759,13134.974681266563,,,,,,,,,,,,
55334.57418916553,81166.69106232311,,,,,,,,,,,,
55893.50928198538,13134.974681266563,,,,,,,,,,,,
55725.828754139424,81101.48196816079,,,,,,,,,,,,
57793.888597572884,13023.187662702594,,,,,,,,,,,,
58431.074603387526,13023.187662702594,,,,,,,,,,,,
58688.18474608465,81045.5884588788,,,,,,,,,,,,
59750.16142244237,81045.5884588788,,,,,,,,,,,,
60253.20300598024,80989.69494959681,,,,,,,,,,,,
60951.87187200506,81017.6417042378,,,,,,,,,,,,
61594.64722874789,81045.5884588788,,,,,,,,,,,,
62097.688812285756,80989.69494959681,,,,,,,,,,,,
62544.83688654164,12911.400644138623,,,,,,,,,,,,
63550.920053617374,12813.587002895149,,,,,,,,,,,,
63550.920053617374,80877.90793103284,,,,,,,,,,,,
64072.592806915905,12836.87596509598,,,,,,,,,,,,
64445.216202129144,80877.90793103284,,,,,,,,,,,,
64817.839597342376,12911.400644138623,,,,,,,,,,,,
65227.72533207694,75400.34402139828,,,,,,,,,,,,
65227.72533207694,74226.58032647659,,,,,,,,,,,,
65227.72533207694,72493.88153873503,,,,,,,,,,,,
65227.72533207694,14532.312413316198,,,,,,,,,,,,
65339.51235064091,80598.44038462293,,,,,,,,,,,,
65339.51235064091,79871.8247639571,,,,,,,,,,,,
65339.51235064091,79201.10265257329,,,,,,,,,,,,
65339.51235064091,78250.91299477953,,,,,,,,,,,,
65339.51235064091,19059.686665157016,,,,,,,,,,,,
65339.51235064091,17122.045010048183,,,,,,,,,,,,
65339.51235064091,16153.224182493776,,,,,,,,,,,,
65674.87340633282,71180.38407060839,,,,,,,,,,,,
65451.29936920488,24537.250574791582,,,,,,,,,,,,
65451.29936920488,23391.433634510882,,,,,,,,,,,,
65451.29936920488,22636.87125920408,,,,,,,,,,,,
65451.29936920488,22022.04265710224,,,,,,,,,,,,
65563.08638776885,29344.092373042324,,,,,,,,,,,,
65563.08638776885,28058.54165955666,,,,,,,,,,,,
65563.08638776885,27387.819548172836,,,,,,,,,,,,
65674.87340633282,34542.188736266966,,,,,,,,,,,,
65674.87340633282,33927.36013416512,,,,,,,,,,,,
65674.87340633282,33293.90036230263,,,,,,,,,,,,
65674.87340633282,32101.505497620266,,,,,,,,,,,,
65674.87340633282,31318.99636767247,,,,,,,,,,,,
65786.66042489679,39349.03053451771,,,,,,,,,,,,
65786.66042489679,38622.4149138519,,,,,,,,,,,,
65786.66042489679,37895.799293186086,,,,,,,,,,,,
65786.66042489679,36163.10050544454,,,,,,,,,,,,
65898.44744346077,41193.516340823226,,,,,,,,,,,,
66569.16955484459,71152.43731596739,,,,,,,,,,,,
66625.06306412657,41976.02547077102,,,,,,,,,,,,
67508.18051078194,41976.02547077102,,,,,,,,,,,,
67724.30208000563,71115.17497644607,,,,,,,,,,,,
68447.19146671929,71085.365104829,,,,,,,,,,,,
69289.32033990121,71077.91263692474,,,,,,,,,,,,
70090.46063960966,71054.62367472392,,,,,,,,,,,,
70202.24765817364,41864.23845220705,,,,,,,,,,,,
70928.86327883945,71068.59705204441,,,,,,,,,,,,
71431.90486237731,41864.23845220705,,,,,,,,,,,,
71636.8477297446,71133.80614620671,,,,,,,,,,,,
72717.45557586299,71040.65029740342,,,,,,,,,,,,
72773.34908514496,41864.23845220705,,,,,,,,,,,,
73360.23093260582,41864.23845220705,,,,,,,,,,,,
73779.43225222071,71040.65029740342,,,,,,,,,,,,
74422.20760896354,70970.78341080094,,,,,,,,,,,,
74226.58032647659,41920.13196148904,,,,,,,,,,,,
74282.47383575857,43149.78916569272,,,,,,,,,,,,
74282.47383575857,42479.067054308885,,,,,,,,,,,,
74394.26085432254,49186.28816814713,,,,,,,,,,,,
74394.26085432254,47872.79070002048,,,,,,,,,,,,
74394.26085432254,46391.61270404787,,,,,,,,,,,,
74394.26085432254,45553.210064818086,,,,,,,,,,,,
74506.04787288651,55435.1825058731,,,,,,,,,,,,
74506.04787288651,54356.43777673078,,,,,,,,,,,,
74506.04787288651,53713.66241998795,,,,,,,,,,,,
74506.04787288651,52528.72002320986,,,,,,,,,,,,
74506.04787288651,51477.92204870853,,,,,,,,,,,,
74617.83489145049,60979.81862664605,,,,,,,,,,,,
74617.83489145049,59489.32504579311,,,,,,,,,,,,
74617.83489145049,58855.865273930605,,,,,,,,,,,,
74617.83489145049,57849.782106854866,,,,,,,,,,,,
74617.83489145049,57234.95350475303,,,,,,,,,,,,
74729.62191001445,66625.06306412657,,,,,,,,,,,,
74729.62191001445,64864.417521744035,,,,,,,,,,,,
74729.62191001445,63411.18628041241,,,,,,,,,,,,
74841.40892857843,70854.33859979679,,,,,,,,,,,,
74841.40892857843,69056.43071789293,,,,,,,,,,,,
6881.60886279804,72939.13783267676,,,,,,,,,,,,
6175.802825587984,53529.47180940024,,,,,,,,,,,,
65992.86447914017,41883.67219543432,,,,,,,,,,,,
65110.60693262761,71174.62273965162,,,,,,,,,,,,
65287.05844193012,80879.45575128989,,,,,,,,,,,,
53817.710337266726,81232.35876989491,,,,,,,,,,,,
53994.16184656924,90760.74027223066,,,,,,,,,,,,
16762.893383738814,82291.06782570998,,,,,,,,,,,,
15880.635837226244,53176.568790795216,,,,,,,,,,,,
17292.24791164636,43471.73577915695,,,,,,,,,,,,
17115.796402343844,33766.90276751869,,,,,,,,,,,,
26820.629413982104,33413.99974891366,,,,,,,,,,,,
36172.55940701533,20180.13655122512,,,,,,,,,,,,
45877.3924186536,20003.68504192261,,,,,,,,,,,,
45877.3924186536,13298.527688427088,,,,,,,,,,,,
